,Valid,Name,Affiliation,Email Domain,Citation Count,ID,Paper Count,h-index,i10-index,g-index,scoquality,score,recentness
0,-,Jiming Liu,"Chair Professor of Computer Science, Hong Kong Baptist University",,110211.0,id_Il6ArO0AAAAJ,14259.0,122.0,2187.0,202.0,1.0,66.19783132530121,0.3239566265060241
1,-,Anuj Kumar Singh,"Research Associate, Orissa University of Agriculture and Technology,Bhubaneswar",,60966.0,id_XSGHN8IAAAAJ,15106.0,91.0,1506.0,138.0,0.721478211240001,41.02391056200005,0.099
2,+,yanxi liu,Penn State University,cse.psu.edu,65619.0,id_9gpR5y0AAAAJ,5106.0,102.0,1426.0,172.0,0.4947704321407853,30.984972024092087,0.12492900834105655
3,-,Ziqiang Wang,Tianjin Institute of Geology and Mineral resources,,37847.0,id_tiGGCdIAAAAJ,5782.0,72.0,860.0,121.0,0.40223746397249466,25.543263374713703,0.10862780352177943
4,+,Joseph Wang,"New Mexico State university, Arizona State university, Technion, University California San  &hellip;",ucsd.edu,62607.0,id_0DEykT4AAAAJ,2965.0,106.0,1253.0,172.0,0.3580648887442349,19.5225513351331,0.03238613795842712
5,+,Akash Kumar,National University of Singapore,nus.edu.sg,16640.0,id_7Q6OSvsAAAAJ,7953.0,44.0,521.0,79.0,0.2937714094539558,17.294644218229365,0.05212147491063153
6,+,Eric Topol,"Professor of Genomics, The Scripps Research Institute",scripps.edu,101077.0,id_E2-uIQYAAAAJ,1605.0,159.0,894.0,274.0,0.24209989583395206,12.1049947916976,0.0
7,-,Tao Jiang,"Department of Computer Science, University of California, Riverside, CA 92521, USA",,18086.0,id_3PCz1j0AAAAJ,2912.0,59.0,400.0,92.0,0.17186068561065782,12.028215003424457,0.06870361445783134
8,+,"Graham Colditz, MD, DrPH","Professor, Dept. of Surgery, Washington University School of Medicine, St. Louis",wudosis.wustl.edu,156961.0,id_M5_mEHQAAAAJ,1201.0,213.0,825.0,366.0,0.2244861387182173,11.250543530641437,0.0005247318946114128
9,+,Junshan Zhang,"Professor of Electrical, Computer and Energy Engineering, Arizona State Univ",asu.edu,16484.0,id_UtAdFs8AAAAJ,2079.0,49.0,405.0,86.0,0.17332879385227812,11.118960545255241,0.049050417052826686
