,Valid,Name,Affiliation,Email Domain,Citation Count,ID,Paper Count,h-index,i10-index,g-index
0,-,Michel Foucault,"Philosophy, Collï¿½ge de France",,274933.0,id_AKqYlxMAAAAJ,672.0,163.0,441.0,524.0
1,-,Pierre Bourdieu,"Sociology, Centre de Sociologie Europï¿½enne, Collï¿½ge de France",,253192.0,id_d_lp40IAAAAJ,929.0,180.0,583.0,501.0
2,-,Oliver H. Lowry,,"Biochemistry, Washington University in St. Louis",250254.0,id_YCS0XAcAAAAJ,288.0,78.0,214.0,288.0
3,-,Herbert Simon,"Professor of Computer Science, Carnegie Mellon",,178637.0,id_9d7rMrkAAAAJ,786.0,139.0,435.0,421.0
4,+,"Graham Colditz, MD, DrPH","Professor, Dept. of Surgery, Washington University School of Medicine, St. Louis",wudosis.wustl.edu,156961.0,id_M5_mEHQAAAAJ,1201.0,213.0,825.0,366.0
5,-,Max Weber,"Sociology, Universities of Berlin, Freiburg, Heidelberg, Vienna, Munich",,134547.0,id_fT8j_PUAAAAJ,549.0,100.0,252.0,366.0
6,-,Erving Goffman,"Sociology, University of Pensylvannia",,114246.0,id_rahhbn0AAAAJ,186.0,72.0,118.0,186.0
7,+,Donald B Rubin,"John L. Loeb Professor of Statistics, Harvard University",stat.harvard.edu,112440.0,id_5q4fhUoAAAAJ,412.0,97.0,231.0,335.0
8,+,robert tibshirani,"Professor of Health Research and Policy, and Statistics, Stanford University",stanford.edu,112355.0,id_ZpG_cJwAAAAJ,469.0,91.0,209.0,335.0
9,-,Jiming Liu,"Chair Professor of Computer Science, Hong Kong Baptist University",,110211.0,id_Il6ArO0AAAAJ,14259.0,122.0,2187.0,202.0
